课程,时间,链接
浙大附中新高三家长会,2019-07-04 21:53:11,http://fs.up366.cn/download/51191651584507904
数学1集合,2019-07-04 22:02:48,http://fs.up366.cn/download/51191354710261760
物理1力学估算问题,2019-07-04 22:03:25,http://fs.up366.cn/download/51191788353323008
化学1物质的量物质的量浓度溶液配制,2019-07-04 22:04:25,http://fs.up366.cn/download/51191357748314112
技术1插入排序,2019-07-04 22:04:52,http://fs.up366.cn/download/51191645038673920
数学2-命题及其关系，充分条件和必要条件,2019-07-05 22:13:57,http://fs.up366.cn/download/51194064999350272
化学2-离子反应（第4单元-第5单元）,2019-07-05 22:19:42,http://fs.up366.cn/download/51193672162246656
生物1-核酸是遗传物质的证据,2019-07-05 22:30:25,http://fs.up366.cn/download/51194656660946944
物理2-力学,2019-07-05 22:39:33,http://fs.up366.cn/download/51194669484179456
技术2电容延时,2019-07-06 09:59:58,http://fs.up366.cn/download/51195996457762816
物理3：动态平衡问题,2019-07-06 21:37:01,http://fs.up366.cn/download/51197411374399488
数学3-任意角的三角函数,2019-07-06 22:17:20,http://fs.up366.cn/download/51197455565160448
化学3-氧化还原（第6单元-第7单元）,2019-07-06 22:18:29,http://fs.up366.cn/download/51193679405023232
生物2-DNA的分子结构,2019-07-06 22:19:12,http://fs.up366.cn/download/51194694409486336
技术3-数论问题与自定义函数,2019-07-06 22:20:15,http://fs.up366.cn/download/51199348010713088
地理1-杭州（30°N）正午太阳高度角的,2019-07-06 22:23:13,http://fs.up366.cn/download/51193683431161856
数学4-同角三角函数的基本关系式,2019-07-07 21:42:03,http://fs.up366.cn/download/51199296358580224
生物3-DNA分子的复制+N5,2019-07-07 21:45:12,http://fs.up366.cn/download/51199307174871040
技术4-电路分析：上、下限判断 + 调节,2019-07-07 21:46:39,http://fs.up366.cn/download/51199315892666368
化学4-微观结构与物质的多样性,2019-07-07 21:48:39,http://fs.up366.cn/download/51199320018812928;51199321890947072
物理4-牛顿定律中的临界问题,2019-07-08 08:43:36,http://fs.up366.cn/download/51201526149087232
数学5-三角函数的图像与性质,2019-07-08 21:34:12,http://fs.up366.cn/download/51203038550753280
